"cluster_number","position_number","(2, 5]","(5, 10]","[0]","(0, 2]","(10, 15]","(15, 20]","(20, 30)"
0,8412,0.004995743663028772,0,0,0,0,0,0
0,221,0.0017112492105402423,0.0016652545049404125,0,0,0.0027036275638098878,0,0
0,222,0,0.004171779451823041,0,0,0,0,0
0,223,0.0019060683514325162,0,0,0,0,0,0
0,225,0,0,0.011091993588607994,0,0,0,0
0,8418,0.0052497645272505744,0,0,0,0,0,0
0,227,0,0,0,0,0,0,0
0,228,0,0.002274800493541243,0,0,0,0,0
0,8230,0,0,0.03786577121628246,0,0,0,0
0,8423,0.002307159084601742,0.0022451476007017855,0,0,0,0,0
0,8424,0,0.003223647758226895,0,0,0,0,0
0,233,0,0.0031979953887980336,0,0.006041326695199346,0,0,0
0,235,0.014927041306399224,0,0,0,0,0,0
0,236,0,0.003889175037344706,0,0,0,0,0
0,237,0,0.002100425542816827,0,0,0.0034101504463386043,0,0
0,238,0,0.003147896244326002,0,0,0,0,0
0,239,0,0,0.005095625824928962,0,0,0,0
0,8433,0,0.005287913427968679,0,0,0,0,0
0,242,0.004347173433091703,0,0,0.007991509347684748,0,0,0
0,243,0,0,0.011091993588607994,0,0,0,0
0,244,0,0,0,0,0,0,0
0,245,0.005482054993058122,0,0,0,0,0,0
0,246,0.0029151633610144364,0,0,0,0,0,0
0,247,0,0.0037442368371952135,0,0,0,0,0
0,248,0,0.0028368100272396675,0,0,0,0,0
0,249,0,0,0.005037189748955007,0,0,0,0
0,250,0,0,0.004795228669310879,0,0,0,0
0,8444,0,0.0026792094701707974,0,0,0,0,0
0,253,0,0,0,0,0,0,0
0,254,0,0.003091395542504766,0,0,0,0,0
0,256,0.003413070050774478,0,0,0,0,0,0
